date,year,month,day,od_pair,market_country,dest_country,pax,seats_capacity,n_flights,censored_flights,naive_total_est,em_total_est,pd01_total_est,pd03_total_est,pd05_total_est,pd07_total_est,pd09_total_est
2015-01-07,2015,1,7,SG→US,SG,US,625,934,4,0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
2015-01-07,2015,1,7,TW→US,TW,US,654,1308,4,0,654.0,654.0,654.0,654.0,654.0,654.0,654.0
2015-01-08,2015,1,8,AE→US,AE,US,649,982,2,1,649.0,649.0,649.0,649.0,649.0,649.0,649.0
2015-01-08,2015,1,8,AU→US,AU,US,2466,3327,10,0,2466.0,2466.0,2466.0,2466.0,2466.0,2466.0,2466.0
2015-01-08,2015,1,8,CN→CA,CN,CA,377,516,2,1,377.0,377.0,377.0,377.0,377.0,377.0,377.0
2015-01-08,2015,1,8,CN→US,CN,US,1867,2700,8,1,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0
2015-01-08,2015,1,8,DE→US,DE,US,289,396,1,0,289.0,289.0,289.0,289.0,289.0,289.0,289.0
2015-01-08,2015,1,8,GB→US,GB,US,446,702,2,0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
2015-01-08,2015,1,8,HK→CA,HK,CA,475,792,2,1,475.0,475.0,475.0,475.0,475.0,475.0,475.0
2015-01-08,2015,1,8,HK→US,HK,US,476,702,2,0,476.0,476.0,476.0,476.0,476.0,476.0,476.0
2015-01-08,2015,1,8,JP→CA,JP,CA,495,516,2,1,495.0,495.0,495.0,495.0,495.0,495.0,495.0
2015-01-08,2015,1,8,JP→US,JP,US,1986,2712,9,1,1986.0,1986.0,1986.0,1986.0,1986.0,1986.0,1986.0
2015-01-08,2015,1,8,KR→CA,KR,CA,398,516,2,0,398.0,398.0,398.0,398.0,398.0,398.0,398.0
2015-01-08,2015,1,8,KR→US,KR,US,1147,1614,5,0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0
2015-01-08,2015,1,8,SG→US,SG,US,694,934,4,0,694.0,694.0,694.0,694.0,694.0,694.0,694.0
2015-01-08,2015,1,8,TW→US,TW,US,788,1308,4,0,788.0,788.0,788.0,788.0,788.0,788.0,788.0
2015-01-09,2015,1,9,AE→US,AE,US,842,982,2,1,842.0,842.0,842.0,842.0,842.0,842.0,842.0
2015-01-09,2015,1,9,AU→US,AU,US,3272,3327,10,9,3272.0,3272.0,3272.0,3272.0,3272.0,3272.0,3272.0
2015-01-09,2015,1,9,CN→CA,CN,CA,362,516,2,0,362.0,362.0,362.0,362.0,362.0,362.0,362.0
2015-01-09,2015,1,9,CN→US,CN,US,2310,2700,8,5,2310.0,2310.0,2310.0,2310.0,2310.0,2310.0,2310.0
2015-01-09,2015,1,9,DE→US,DE,US,255,396,1,0,255.0,255.0,255.0,255.0,255.0,255.0,255.0
2015-01-09,2015,1,9,GB→US,GB,US,458,702,2,0,458.0,458.0,458.0,458.0,458.0,458.0,458.0
2015-01-09,2015,1,9,HK→CA,HK,CA,558,792,2,0,558.0,558.0,558.0,558.0,558.0,558.0,558.0
2015-01-09,2015,1,9,HK→US,HK,US,473,702,2,0,473.0,473.0,473.0,473.0,473.0,473.0,473.0
2015-01-09,2015,1,9,JP→CA,JP,CA,433,516,2,0,433.0,433.0,433.0,433.0,433.0,433.0,433.0
2015-01-09,2015,1,9,JP→US,JP,US,2390,2712,9,7,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0,2390.0
2015-01-09,2015,1,9,KR→CA,KR,CA,424,516,2,0,424.0,424.0,424.0,424.0,424.0,424.0,424.0
2015-01-09,2015,1,9,KR→US,KR,US,1296,1614,5,1,1296.0,1296.0,1296.0,1296.0,1296.0,1296.0,1296.0
2015-01-09,2015,1,9,SG→US,SG,US,789,934,4,2,789.0,789.0,789.0,789.0,789.0,789.0,789.0
2015-01-09,2015,1,9,TW→US,TW,US,961,1308,4,0,961.0,961.0,961.0,961.0,961.0,961.0,961.0
2015-01-10,2015,1,10,AE→US,AE,US,752,982,2,0,752.0,752.0,752.0,752.0,752.0,752.0,752.0
2015-01-10,2015,1,10,AU→US,AU,US,2298,3327,10,0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0
2015-01-10,2015,1,10,CN→CA,CN,CA,297,516,2,0,297.0,297.0,297.0,297.0,297.0,297.0,297.0
2015-01-10,2015,1,10,CN→US,CN,US,1859,2700,8,0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0
2015-01-10,2015,1,10,DE→US,DE,US,223,396,1,0,223.0,223.0,223.0,223.0,223.0,223.0,223.0
2015-01-10,2015,1,10,GB→US,GB,US,383,702,2,0,383.0,383.0,383.0,383.0,383.0,383.0,383.0
2015-01-10,2015,1,10,HK→CA,HK,CA,443,792,2,0,443.0,443.0,443.0,443.0,443.0,443.0,443.0
2015-01-10,2015,1,10,HK→US,HK,US,400,702,2,0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
2015-01-10,2015,1,10,JP→CA,JP,CA,332,516,2,0,332.0,332.0,332.0,332.0,332.0,332.0,332.0
2015-01-10,2015,1,10,JP→US,JP,US,1964,2712,9,1,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
2015-01-10,2015,1,10,KR→CA,KR,CA,404,516,2,1,404.0,404.0,404.0,404.0,404.0,404.0,404.0
2015-01-10,2015,1,10,KR→US,KR,US,1249,1614,5,2,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0
2015-01-10,2015,1,10,SG→US,SG,US,582,934,4,0,582.0,582.0,582.0,582.0,582.0,582.0,582.0
2015-01-10,2015,1,10,TW→US,TW,US,721,1308,4,1,721.0,721.0,721.0,721.0,721.0,721.0,721.0
2015-01-11,2015,1,11,AE→US,AE,US,682,982,2,0,682.0,682.0,682.0,682.0,682.0,682.0,682.0
2015-01-11,2015,1,11,AU→US,AU,US,3188,3327,10,8,3188.0,3188.0,3188.0,3188.0,3188.0,3188.0,3188.0
2015-01-11,2015,1,11,CN→CA,CN,CA,377,516,2,0,377.0,377.0,377.0,377.0,377.0,377.0,377.0
2015-01-11,2015,1,11,CN→US,CN,US,1861,2700,8,1,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0
2015-01-11,2015,1,11,DE→US,DE,US,235,396,1,0,235.0,235.0,235.0,235.0,235.0,235.0,235.0
2015-01-11,2015,1,11,GB→US,GB,US,451,702,2,0,451.0,451.0,451.0,451.0,451.0,451.0,451.0
2015-01-11,2015,1,11,HK→CA,HK,CA,503,792,2,0,503.0,503.0,503.0,503.0,503.0,503.0,503.0
2015-01-11,2015,1,11,HK→US,HK,US,478,702,2,0,478.0,478.0,478.0,478.0,478.0,478.0,478.0
2015-01-11,2015,1,11,JP→CA,JP,CA,396,516,2,0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
2015-01-11,2015,1,11,JP→US,JP,US,1963,2712,9,0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
2015-01-11,2015,1,11,KR→CA,KR,CA,377,516,2,0,377.0,377.0,377.0,377.0,377.0,377.0,377.0
2015-01-11,2015,1,11,KR→US,KR,US,1196,1614,5,0,1196.0,1196.0,1196.0,1196.0,1196.0,1196.0,1196.0
2015-01-11,2015,1,11,SG→US,SG,US,676,934,4,0,676.0,676.0,676.0,676.0,676.0,676.0,676.0
2015-01-11,2015,1,11,TW→US,TW,US,955,1308,4,0,955.0,955.0,955.0,955.0,955.0,955.0,955.0
2015-01-12,2015,1,12,AE→US,AE,US,648,982,2,0,648.0,648.0,648.0,648.0,648.0,648.0,648.0
2015-01-12,2015,1,12,AU→US,AU,US,2412,3327,10,0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0
2015-01-12,2015,1,12,CN→CA,CN,CA,424,516,2,1,424.0,424.0,424.0,424.0,424.0,424.0,424.0
2015-01-12,2015,1,12,CN→US,CN,US,2195,2700,8,1,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0,2195.0
2015-01-12,2015,1,12,DE→US,DE,US,296,396,1,0,296.0,296.0,296.0,296.0,296.0,296.0,296.0
2015-01-12,2015,1,12,GB→US,GB,US,479,702,2,1,479.0,479.0,479.0,479.0,479.0,479.0,479.0
2015-01-12,2015,1,12,HK→CA,HK,CA,428,792,2,0,428.0,428.0,428.0,428.0,428.0,428.0,428.0
2015-01-12,2015,1,12,HK→US,HK,US,477,702,2,0,477.0,477.0,477.0,477.0,477.0,477.0,477.0
2015-01-12,2015,1,12,JP→CA,JP,CA,426,516,2,0,426.0,426.0,426.0,426.0,426.0,426.0,426.0
2015-01-12,2015,1,12,JP→US,JP,US,2168,2712,9,5,2168.0,2168.0,2168.0,2168.0,2168.0,2168.0,2168.0
2015-01-12,2015,1,12,KR→CA,KR,CA,417,516,2,0,417.0,417.0,417.0,417.0,417.0,417.0,417.0
2015-01-12,2015,1,12,KR→US,KR,US,1317,1614,5,1,1317.0,1317.0,1317.0,1317.0,1317.0,1317.0,1317.0
2015-01-12,2015,1,12,SG→US,SG,US,645,934,4,0,645.0,645.0,645.0,645.0,645.0,645.0,645.0
2015-01-12,2015,1,12,TW→US,TW,US,899,1308,4,1,899.0,899.0,899.0,899.0,899.0,899.0,899.0
2015-01-13,2015,1,13,AE→US,AE,US,599,982,2,0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
2015-01-13,2015,1,13,AU→US,AU,US,2356,3327,10,0,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0,2356.0
2015-01-13,2015,1,13,CN→CA,CN,CA,257,516,2,0,257.0,257.0,257.0,257.0,257.0,257.0,257.0
2015-01-13,2015,1,13,CN→US,CN,US,1618,2700,8,0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0,1618.0
2015-01-13,2015,1,13,DE→US,DE,US,224,396,1,0,224.0,224.0,224.0,224.0,224.0,224.0,224.0
2015-01-13,2015,1,13,GB→US,GB,US,479,702,2,0,479.0,479.0,479.0,479.0,479.0,479.0,479.0
2015-01-13,2015,1,13,HK→CA,HK,CA,449,792,2,0,449.0,449.0,449.0,449.0,449.0,449.0,449.0
2015-01-13,2015,1,13,HK→US,HK,US,396,702,2,0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
2015-01-13,2015,1,13,JP→CA,JP,CA,341,516,2,0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
2015-01-13,2015,1,13,JP→US,JP,US,1898,2712,9,1,1898.0,1898.0,1898.0,1898.0,1898.0,1898.0,1898.0
2015-01-13,2015,1,13,KR→CA,KR,CA,291,516,2,0,291.0,291.0,291.0,291.0,291.0,291.0,291.0
2015-01-13,2015,1,13,KR→US,KR,US,1064,1614,5,0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0
2015-01-13,2015,1,13,SG→US,SG,US,581,934,4,0,581.0,581.0,581.0,581.0,581.0,581.0,581.0
2015-01-13,2015,1,13,TW→US,TW,US,761,1308,4,0,761.0,761.0,761.0,761.0,761.0,761.0,761.0
